Feats_subset,Model_name,n_est;max_dep;LR;n_neig,train_score,train_std,subm_score,subm_std
High Corr.,S_SVC,"(200, 3, 0.05, 3)",0.8283,0.0179,0.799,0.0
High Corr.,S_SVC,"(100, 3, 0.2, 5)",0.8238,0.0201,0.799,0.0
High Corr.,S_SVC,"(200, 3, 0.05, 5)",0.8204,0.0106,0.799,0.0
High Corr.,S_SVC,"(100, 3, 0.1, 5)",0.8204,0.014,0.799,0.0
High Corr.,B_GB,"(100, 3, 0.05, 3)",0.8137,0.0185,0.7986,0.001
High Corr.,B_GB,"(100, 3, 0.05, 5)",0.8137,0.0185,0.7986,0.001
High Corr.,B_GB,"(100, 3, 0.05, 7)",0.8137,0.0185,0.7986,0.001
High Corr.,S_SVC,"(100, 3, 0.1, 3)",0.826,0.0141,0.7967,0.0
High Corr.,S_HGB,"(200, 3, 0.1, 7)",0.8081,0.0137,0.7967,0.0
High Corr.,S_SVC,"(200, 3, 0.1, 5)",0.8204,0.0183,0.7967,0.0
High Corr.,S_HGB,"(200, 3, 0.05, 3)",0.7969,0.0189,0.7967,0.0
High Corr.,S_SVC,"(100, 3, 0.2, 3)",0.826,0.0183,0.7967,0.0
High Corr.,B_GB,"(50, 3, 0.2, 5)",0.8193,0.0121,0.7957,0.0012
High Corr.,B_GB,"(50, 3, 0.2, 7)",0.8193,0.0121,0.7957,0.0012
High Corr.,B_GB,"(50, 3, 0.2, 3)",0.8193,0.0121,0.7957,0.0012
New,S_HGB,"(100, 3, 0.1, 5)",0.8149,0.0331,0.7943,0.0
High Corr.,S_SVC,"(200, 3, 0.1, 3)",0.8238,0.0165,0.7943,0.0
New,S_KN,"(200, 3, 0.1, 5)",0.8137,0.0264,0.7943,0.0
High Corr.,S_HGB,"(200, 3, 0.1, 5)",0.8047,0.0144,0.7943,0.0
High Corr.,B_GB,"(50, 3, 0.1, 5)",0.8171,0.0168,0.7928,0.0019
High Corr.,B_GB,"(50, 3, 0.1, 7)",0.8171,0.0168,0.7928,0.0019
High Corr.,B_GB,"(50, 3, 0.1, 3)",0.8171,0.0168,0.7928,0.0019
High Corr.,S_SVC,"(50, 3, 0.2, 5)",0.8193,0.0112,0.7919,0.0
New,S_KN,"(50, 5, 0.05, 5)",0.798,0.0188,0.7919,0.0
New,S_KN,"(100, 3, 0.05, 5)",0.8104,0.0209,0.7919,0.0
New,S_KN,"(200, 7, 0.1, 5)",0.8069,0.0224,0.7919,0.0
High Corr.,S_SVC,"(100, 3, 0.05, 3)",0.8283,0.0225,0.7919,0.0
High Corr.,S_SVC,"(50, 3, 0.1, 5)",0.8193,0.0177,0.7919,0.0
New,S_HGB,"(200, 3, 0.05, 5)",0.8171,0.0163,0.7919,0.0
High Corr.,S_SVC,"(200, 3, 0.2, 5)",0.8283,0.0219,0.7919,0.0
New,S_KN,"(200, 5, 0.2, 5)",0.8148,0.0144,0.7919,0.0
New,S_HGB,"(100, 3, 0.1, 3)",0.8216,0.0267,0.7919,0.0
New,S_KN,"(50, 3, 0.05, 5)",0.8115,0.0217,0.7919,0.0
New,S_KN,"(200, 3, 0.2, 5)",0.8193,0.0269,0.7895,0.0
New,S_KN,"(200, 7, 0.2, 5)",0.8103,0.0199,0.7895,0.0
High Corr.,S_SVC,"(200, 3, 0.05, 7)",0.8182,0.0102,0.7895,0.0
High Corr.,B_GB,"(100, 5, 0.05, 7)",0.8328,0.0294,0.788,0.0012
High Corr.,B_GB,"(100, 5, 0.05, 5)",0.8328,0.0294,0.788,0.0012
High Corr.,B_GB,"(100, 5, 0.05, 3)",0.8328,0.0294,0.788,0.0012
High Corr.,B_GB,"(50, 5, 0.05, 7)",0.8215,0.0141,0.7876,0.001
High Corr.,B_GB,"(50, 5, 0.05, 5)",0.8215,0.0141,0.7876,0.001
High Corr.,B_GB,"(100, 3, 0.2, 3)",0.8238,0.0241,0.7876,0.001
High Corr.,B_GB,"(50, 5, 0.05, 3)",0.8215,0.0141,0.7876,0.001
High Corr.,B_GB,"(100, 3, 0.2, 5)",0.8238,0.0241,0.7876,0.001
High Corr.,B_GB,"(100, 3, 0.2, 7)",0.8238,0.0241,0.7876,0.001
High Corr.,S_KN,"(200, 5, 0.2, 5)",0.8025,0.0243,0.7871,0.0
High Corr.,S_SVC,"(200, 3, 0.2, 7)",0.8283,0.0227,0.7871,0.0
High Corr.,S_SVC,"(50, 5, 0.1, 5)",0.8216,0.0248,0.7871,0.0
High Corr.,S_SVC,"(100, 5, 0.1, 5)",0.8171,0.0194,0.7871,0.0
High Corr.,S_SVC,"(200, 5, 0.1, 5)",0.8249,0.0177,0.7871,0.0
High Corr.,B_GB,"(100, 5, 0.1, 3)",0.826,0.0263,0.7871,0.0026
High Corr.,S_SVC,"(100, 3, 0.2, 7)",0.8249,0.0191,0.7871,0.0
High Corr.,B_GB,"(100, 5, 0.1, 7)",0.826,0.0263,0.7871,0.0026
High Corr.,B_GB,"(100, 5, 0.1, 5)",0.826,0.0263,0.7871,0.0026
High Corr.,B_GB,"(50, 3, 0.05, 5)",0.8137,0.0156,0.7871,0.0
New,S_KN,"(50, 3, 0.1, 5)",0.8149,0.0256,0.7871,0.0
High Corr.,B_GB,"(50, 3, 0.05, 3)",0.8137,0.0156,0.7871,0.0
High Corr.,B_GB,"(50, 3, 0.05, 7)",0.8137,0.0156,0.7871,0.0
High Corr.,B_GB,"(200, 3, 0.05, 3)",0.8204,0.0148,0.7866,0.001
High Corr.,B_GB,"(200, 3, 0.05, 7)",0.8204,0.0148,0.7866,0.001
High Corr.,B_GB,"(200, 3, 0.05, 5)",0.8204,0.0148,0.7866,0.001
High Corr.,B_GB,"(100, 3, 0.1, 5)",0.8137,0.0167,0.7852,0.0023
High Corr.,B_GB,"(100, 3, 0.1, 7)",0.8137,0.0167,0.7852,0.0023
High Corr.,B_GB,"(100, 3, 0.1, 3)",0.8137,0.0167,0.7852,0.0023
New,S_SVC,"(200, 3, 0.05, 3)",0.8294,0.0091,0.7847,0.0
High Corr.,S_SVC,"(50, 7, 0.05, 5)",0.8204,0.0186,0.7847,0.0
New,S_KN,"(100, 7, 0.2, 5)",0.8103,0.0234,0.7847,0.0
New,S_SVC,"(200, 3, 0.1, 5)",0.8249,0.0108,0.7847,0.0
New,S_KN,"(100, 7, 0.2, 3)",0.8014,0.0188,0.7847,0.0
High Corr.,B_GB,"(50, 5, 0.1, 7)",0.8316,0.0283,0.7847,0.0015
New,S_KN,"(200, 7, 0.1, 3)",0.7935,0.0259,0.7847,0.0
High Corr.,S_SVC,"(50, 3, 0.1, 3)",0.8272,0.0156,0.7847,0.0
High Corr.,S_SVC,"(50, 7, 0.05, 7)",0.8193,0.0228,0.7847,0.0
High Corr.,B_GB,"(50, 5, 0.1, 5)",0.8316,0.0283,0.7847,0.0015
High Corr.,S_SVC,"(100, 3, 0.05, 5)",0.8227,0.0143,0.7847,0.0
High Corr.,S_HGB,"(200, 3, 0.1, 3)",0.8092,0.0117,0.7847,0.0
New,S_SVC,"(200, 7, 0.05, 7)",0.8249,0.0068,0.7847,0.0
New,S_KN,"(200, 7, 0.1, 7)",0.817,0.0251,0.7847,0.0
High Corr.,B_GB,"(50, 5, 0.1, 3)",0.8316,0.0283,0.7847,0.0015
New,S_SVC,"(100, 3, 0.1, 5)",0.8316,0.0147,0.7847,0.0
High Corr.,S_SVC,"(50, 3, 0.2, 7)",0.8193,0.0101,0.7847,0.0
New,S_HGB,"(100, 3, 0.1, 7)",0.8328,0.0179,0.7847,0.0
New,S_SVC,"(100, 3, 0.1, 7)",0.8316,0.0148,0.7847,0.0
New,S_SVC,"(200, 7, 0.2, 5)",0.8227,0.0084,0.7847,0.0
High Corr.,S_SVC,"(100, 3, 0.1, 7)",0.8216,0.0112,0.7847,0.0
New,S_KN,"(100, 3, 0.2, 7)",0.8272,0.024,0.7847,0.0
High Corr.,S_SVC,"(200, 3, 0.1, 7)",0.8249,0.0166,0.7847,0.0
High Corr.,S_SVC,"(100, 5, 0.05, 5)",0.8205,0.0201,0.7847,0.0
New,S_HGB,"(200, 3, 0.2, 5)",0.8182,0.0178,0.7847,0.0
New,S_SVC,"(200, 7, 0.2, 3)",0.8182,0.0086,0.7847,0.0
High Corr.,B_GB,"(50, 7, 0.1, 3)",0.8193,0.026,0.7837,0.0029
High Corr.,B_GB,"(50, 7, 0.1, 7)",0.8193,0.026,0.7837,0.0029
High Corr.,B_GB,"(50, 7, 0.1, 5)",0.8193,0.026,0.7837,0.0029
New,B_GB,"(50, 3, 0.2, 5)",0.8328,0.0197,0.7833,0.0032
New,B_GB,"(50, 3, 0.2, 7)",0.8328,0.0197,0.7833,0.0032
New,B_GB,"(50, 3, 0.2, 3)",0.8328,0.0197,0.7833,0.0032
High Corr.,S_SVC,"(50, 7, 0.05, 3)",0.8249,0.0154,0.7823,0.0
New,S_HGB,"(200, 3, 0.2, 3)",0.8216,0.0253,0.7823,0.0
High Corr.,S_HGB,"(100, 5, 0.05, 3)",0.7991,0.024,0.7823,0.0
New,S_SVC,"(200, 7, 0.05, 5)",0.8238,0.0089,0.7823,0.0
New,S_KN,"(200, 3, 0.1, 7)",0.8227,0.0245,0.7823,0.0
New,S_HGB,"(100, 3, 0.05, 3)",0.8193,0.0224,0.7823,0.0
New,S_SVC,"(200, 3, 0.1, 3)",0.8249,0.0115,0.7823,0.0
New,S_SVC,"(200, 3, 0.05, 7)",0.8305,0.0132,0.7823,0.0
High Corr.,S_SVC,"(50, 3, 0.2, 3)",0.8216,0.0108,0.7823,0.0
New,S_SVC,"(200, 3, 0.05, 5)",0.8249,0.0082,0.7823,0.0
High Corr.,S_HGB,"(100, 7, 0.2, 5)",0.7991,0.029,0.7823,0.0
New,S_HGB,"(100, 3, 0.05, 5)",0.8227,0.0186,0.7823,0.0
High Corr.,S_KN,"(100, 5, 0.2, 5)",0.8081,0.0273,0.7823,0.0
New,S_HGB,"(100, 3, 0.05, 7)",0.8227,0.0164,0.7823,0.0
New,S_SVC,"(200, 7, 0.1, 7)",0.826,0.0119,0.7823,0.0
New,S_KN,"(100, 3, 0.1, 5)",0.8126,0.0233,0.7823,0.0
New,S_KN,"(200, 7, 0.2, 3)",0.8114,0.0232,0.7823,0.0
High Corr.,S_SVC,"(100, 5, 0.05, 7)",0.8205,0.0201,0.7823,0.0
New,S_SVC,"(200, 3, 0.2, 5)",0.826,0.0094,0.7823,0.0
New,S_SVC,"(200, 5, 0.2, 5)",0.8316,0.0155,0.7823,0.0
High Corr.,S_SVC,"(50, 3, 0.1, 7)",0.8216,0.0178,0.7823,0.0
New,S_SVC,"(200, 5, 0.05, 7)",0.8305,0.0136,0.7823,0.0
High Corr.,S_SVC,"(200, 5, 0.1, 3)",0.8238,0.0188,0.7823,0.0
New,S_SVC,"(200, 5, 0.05, 3)",0.826,0.0197,0.7823,0.0
High Corr.,S_SVC,"(200, 5, 0.1, 7)",0.8227,0.0195,0.7823,0.0
New,S_KN,"(200, 5, 0.2, 3)",0.7924,0.03,0.7823,0.0
High Corr.,S_KN,"(200, 5, 0.2, 7)",0.8115,0.0182,0.7823,0.0
High Corr.,S_HGB,"(50, 5, 0.05, 5)",0.8115,0.0291,0.7823,0.0
New,S_SVC,"(200, 5, 0.2, 3)",0.8316,0.0155,0.7823,0.0
High Corr.,B_GB,"(100, 7, 0.05, 7)",0.8205,0.0211,0.7818,0.001
High Corr.,B_GB,"(100, 7, 0.05, 5)",0.8205,0.0211,0.7818,0.001
High Corr.,B_GB,"(100, 7, 0.05, 3)",0.8205,0.0211,0.7818,0.001
High Corr.,B_GB,"(50, 5, 0.2, 3)",0.8193,0.0248,0.7813,0.0058
High Corr.,B_GB,"(50, 5, 0.2, 7)",0.8193,0.0248,0.7813,0.0058
High Corr.,B_GB,"(50, 5, 0.2, 5)",0.8193,0.0248,0.7813,0.0058
New,B_GB,"(100, 3, 0.1, 5)",0.8283,0.018,0.7809,0.0012
New,B_GB,"(100, 3, 0.1, 7)",0.8283,0.018,0.7809,0.0012
New,B_GB,"(100, 3, 0.1, 3)",0.8283,0.018,0.7809,0.0012
High Corr.,S_HGB,"(100, 3, 0.2, 7)",0.8002,0.0174,0.7799,0.0
New,S_SVC,"(200, 5, 0.05, 5)",0.8272,0.0157,0.7799,0.0
High Corr.,S_SVC,"(100, 3, 0.05, 7)",0.8204,0.0126,0.7799,0.0
High Corr.,S_HGB,"(100, 3, 0.1, 5)",0.8013,0.0109,0.7799,0.0
New,S_KN,"(50, 3, 0.05, 7)",0.8204,0.0125,0.7799,0.0
New,S_SVC,"(100, 7, 0.2, 7)",0.8227,0.0096,0.7799,0.0
New,S_KN,"(200, 3, 0.05, 5)",0.807,0.0183,0.7799,0.0
High Corr.,S_KN,"(50, 7, 0.2, 5)",0.8036,0.0245,0.7799,0.0
New,S_HGB,"(200, 3, 0.1, 3)",0.826,0.0151,0.7799,0.0
New,S_SVC,"(100, 3, 0.2, 5)",0.8305,0.0097,0.7799,0.0
High Corr.,S_KN,"(100, 7, 0.2, 5)",0.8036,0.0183,0.7799,0.0
High Corr.,S_SVC,"(50, 3, 0.05, 5)",0.8216,0.0142,0.7799,0.0
New,S_SVC,"(100, 3, 0.2, 7)",0.8294,0.0086,0.7799,0.0
New,S_KN,"(100, 7, 0.2, 7)",0.8081,0.0318,0.7799,0.0
New,S_SVC,"(100, 3, 0.1, 3)",0.8283,0.0153,0.7799,0.0
High Corr.,S_SVC,"(200, 5, 0.2, 5)",0.8249,0.0207,0.7799,0.0
High Corr.,S_HGB,"(200, 3, 0.05, 7)",0.7958,0.0263,0.7799,0.0
New,S_HGB,"(200, 3, 0.1, 5)",0.8238,0.0169,0.7799,0.0
New,S_HGB,"(100, 3, 0.2, 3)",0.8081,0.0249,0.7799,0.0
New,S_HGB,"(200, 3, 0.1, 7)",0.8283,0.0174,0.7799,0.0
High Corr.,S_SVC,"(200, 3, 0.2, 3)",0.8283,0.0241,0.7799,0.0
New,S_SVC,"(200, 3, 0.2, 3)",0.8249,0.0138,0.7799,0.0
New,S_SVC,"(200, 7, 0.1, 5)",0.8272,0.0131,0.7799,0.0
High Corr.,S_KN,"(50, 3, 0.1, 5)",0.8092,0.0254,0.7799,0.0
New,S_SVC,"(200, 7, 0.05, 3)",0.8249,0.0138,0.7799,0.0
High Corr.,S_HGB,"(100, 3, 0.1, 7)",0.8058,0.0103,0.7799,0.0
New,S_SVC,"(200, 3, 0.1, 7)",0.8305,0.0099,0.7799,0.0
High Corr.,S_HGB,"(50, 7, 0.2, 7)",0.798,0.0324,0.7799,0.0
High Corr.,S_HGB,"(50, 3, 0.1, 5)",0.8103,0.011,0.7799,0.0
New,S_SVC,"(200, 7, 0.2, 7)",0.8215,0.0082,0.7799,0.0
High Corr.,S_KN,"(50, 5, 0.1, 7)",0.8182,0.0227,0.7799,0.0
High Corr.,S_SVC,"(100, 7, 0.05, 5)",0.8193,0.0208,0.7799,0.0
New,S_KN,"(100, 5, 0.1, 5)",0.8171,0.0306,0.7799,0.0
New,B_GB,"(200, 3, 0.1, 3)",0.8204,0.0204,0.7785,0.0012
New,B_GB,"(200, 3, 0.1, 7)",0.8204,0.0204,0.7785,0.0012
New,B_GB,"(200, 3, 0.1, 5)",0.8204,0.0204,0.7785,0.0012
High Corr.,B_GB,"(200, 5, 0.05, 3)",0.8283,0.0242,0.778,0.0018
High Corr.,B_GB,"(200, 5, 0.05, 7)",0.8283,0.0242,0.778,0.0018
High Corr.,B_GB,"(200, 5, 0.05, 5)",0.8283,0.0242,0.778,0.0018
High Corr.,B_GB,"(200, 3, 0.2, 7)",0.8283,0.0288,0.778,0.001
High Corr.,B_GB,"(200, 3, 0.2, 3)",0.8283,0.0288,0.778,0.001
High Corr.,B_GB,"(200, 3, 0.2, 5)",0.8283,0.0288,0.778,0.001
New,S_SVC,"(100, 7, 0.05, 3)",0.826,0.0128,0.7775,0.0
New,S_SVC,"(200, 5, 0.2, 7)",0.8316,0.0171,0.7775,0.0
High Corr.,S_SVC,"(50, 5, 0.05, 5)",0.8137,0.0202,0.7775,0.0
New,S_KN,"(100, 7, 0.05, 7)",0.798,0.0225,0.7775,0.0
High Corr.,S_SVC,"(100, 5, 0.1, 7)",0.8171,0.0238,0.7775,0.0
New,S_KN,"(100, 7, 0.05, 5)",0.8059,0.0217,0.7775,0.0
New,S_SVC,"(100, 7, 0.05, 5)",0.8227,0.0092,0.7775,0.0
High Corr.,S_KN,"(50, 3, 0.2, 5)",0.8092,0.0303,0.7775,0.0
New,S_KN,"(100, 5, 0.2, 5)",0.8036,0.0313,0.7775,0.0
High Corr.,S_SVC,"(50, 5, 0.05, 3)",0.8193,0.022,0.7775,0.0
New,S_SVC,"(100, 7, 0.05, 7)",0.8238,0.0077,0.7775,0.0
New,S_SVC,"(200, 5, 0.1, 5)",0.8271,0.0154,0.7775,0.0
High Corr.,S_SVC,"(50, 3, 0.05, 3)",0.8317,0.0224,0.7775,0.0
New,S_SVC,"(100, 3, 0.2, 3)",0.8294,0.0097,0.7775,0.0
New,S_SVC,"(200, 7, 0.1, 3)",0.8227,0.0092,0.7775,0.0
High Corr.,S_SVC,"(100, 5, 0.05, 3)",0.8238,0.0188,0.7775,0.0
New,S_HGB,"(200, 3, 0.2, 7)",0.8059,0.0194,0.7775,0.0
High Corr.,S_SVC,"(100, 5, 0.1, 3)",0.8261,0.0214,0.7775,0.0
New,S_KN,"(100, 5, 0.05, 5)",0.8137,0.0237,0.7775,0.0
High Corr.,S_KN,"(50, 5, 0.1, 5)",0.8126,0.0266,0.7775,0.0
New,S_HGB,"(50, 3, 0.2, 5)",0.8182,0.0244,0.7775,0.0
High Corr.,S_HGB,"(50, 3, 0.05, 5)",0.8148,0.0216,0.7775,0.0
New,S_KN,"(50, 3, 0.2, 5)",0.8059,0.0255,0.7775,0.0
New,S_HGB,"(200, 5, 0.05, 5)",0.8171,0.024,0.7775,0.0
New,S_KN,"(200, 5, 0.05, 5)",0.8149,0.0348,0.7775,0.0
High Corr.,S_SVC,"(200, 7, 0.05, 5)",0.8249,0.0225,0.7775,0.0
New,S_SVC,"(100, 5, 0.2, 7)",0.8249,0.009,0.7775,0.0
High Corr.,S_KN,"(50, 3, 0.05, 5)",0.8193,0.021,0.7775,0.0
New,S_SVC,"(50, 3, 0.1, 3)",0.8339,0.0172,0.7775,0.0
New,S_HGB,"(200, 3, 0.05, 3)",0.8205,0.0175,0.7775,0.0
High Corr.,S_HGB,"(50, 3, 0.05, 3)",0.8227,0.0231,0.7775,0.0
High Corr.,S_SVC,"(200, 7, 0.05, 7)",0.826,0.0246,0.7775,0.0
New,S_HGB,"(200, 3, 0.05, 7)",0.8283,0.015,0.7775,0.0
High Corr.,S_KN,"(100, 5, 0.1, 5)",0.8014,0.02,0.7775,0.0
New,B_GB,"(200, 5, 0.05, 5)",0.8148,0.0366,0.777,0.0023
New,B_GB,"(200, 5, 0.05, 7)",0.8148,0.0366,0.777,0.0023
