Feats_subset,Model_name,n_est;max_dep;LR;n_neig,train_score,train_std,subm_score,subm_std
New,B_GB,"(200, 5, 0.05, 3)",0.8148,0.0366,0.777,0.0023
New,B_GB,"(200, 3, 0.05, 5)",0.8305,0.016,0.7766,0.0042
New,B_GB,"(100, 5, 0.05, 3)",0.8193,0.0216,0.7766,0.0019
New,B_GB,"(200, 3, 0.05, 7)",0.8305,0.016,0.7766,0.0042
New,B_GB,"(100, 5, 0.05, 5)",0.8193,0.0216,0.7766,0.0019
New,B_GB,"(100, 5, 0.05, 7)",0.8193,0.0216,0.7766,0.0019
New,B_GB,"(200, 3, 0.05, 3)",0.8305,0.016,0.7766,0.0042
New,B_GB,"(200, 5, 0.1, 7)",0.8115,0.0266,0.7756,0.0028
New,B_GB,"(200, 5, 0.1, 5)",0.8115,0.0266,0.7756,0.0028
New,B_GB,"(100, 3, 0.2, 3)",0.8238,0.0203,0.7756,0.0041
New,B_GB,"(100, 3, 0.2, 5)",0.8238,0.0203,0.7756,0.0041
New,B_GB,"(100, 3, 0.2, 7)",0.8238,0.0203,0.7756,0.0041
New,B_GB,"(200, 5, 0.1, 3)",0.8115,0.0266,0.7756,0.0028
High Corr.,S_KN,"(100, 5, 0.2, 7)",0.8159,0.0267,0.7751,0.0
New,S_KN,"(200, 5, 0.2, 7)",0.8126,0.0192,0.7751,0.0
High Corr.,S_HGB,"(200, 5, 0.1, 5)",0.8159,0.0237,0.7751,0.0
New,S_KN,"(200, 5, 0.05, 7)",0.8238,0.0326,0.7751,0.0
High Corr.,S_SVC,"(200, 5, 0.05, 5)",0.8227,0.021,0.7751,0.0
New,S_KN,"(200, 3, 0.05, 7)",0.8216,0.0159,0.7751,0.0
New,S_SVC,"(200, 5, 0.1, 7)",0.8305,0.0131,0.7751,0.0
New,S_SVC,"(50, 7, 0.05, 5)",0.8249,0.009,0.7751,0.0
New,S_SVC,"(100, 5, 0.1, 5)",0.826,0.0151,0.7751,0.0
High Corr.,S_SVC,"(200, 5, 0.05, 3)",0.8283,0.0192,0.7751,0.0
High Corr.,B_GB,"(200, 5, 0.1, 7)",0.8249,0.0214,0.7751,0.0
New,S_SVC,"(50, 7, 0.05, 3)",0.8227,0.0135,0.7751,0.0
High Corr.,S_HGB,"(200, 3, 0.2, 3)",0.8137,0.0107,0.7751,0.0
High Corr.,S_KN,"(200, 3, 0.2, 5)",0.8171,0.0184,0.7751,0.0
High Corr.,S_SVC,"(50, 5, 0.1, 7)",0.8216,0.0242,0.7751,0.0
High Corr.,S_HGB,"(100, 3, 0.05, 3)",0.8081,0.0185,0.7751,0.0
High Corr.,S_KN,"(50, 7, 0.1, 5)",0.8081,0.0222,0.7751,0.0
High Corr.,B_GB,"(200, 5, 0.1, 5)",0.8249,0.0214,0.7751,0.0
High Corr.,S_SVC,"(200, 5, 0.2, 3)",0.826,0.0203,0.7751,0.0
High Corr.,B_GB,"(200, 5, 0.1, 3)",0.8249,0.0214,0.7751,0.0
High Corr.,S_HGB,"(100, 3, 0.2, 3)",0.8092,0.0156,0.7751,0.0
High Corr.,S_KN,"(50, 7, 0.2, 7)",0.8204,0.0235,0.7751,0.0
High Corr.,S_SVC,"(100, 5, 0.2, 5)",0.8216,0.0185,0.7751,0.0
High Corr.,S_SVC,"(100, 7, 0.05, 7)",0.8204,0.0219,0.7751,0.0
New,S_SVC,"(100, 5, 0.1, 3)",0.8227,0.0144,0.7751,0.0
New,S_SVC,"(100, 5, 0.2, 5)",0.8272,0.0114,0.7751,0.0
High Corr.,S_KN,"(100, 7, 0.2, 7)",0.8171,0.0167,0.7751,0.0
New,S_HGB,"(50, 3, 0.2, 3)",0.8115,0.0309,0.7751,0.0
New,S_SVC,"(100, 5, 0.2, 3)",0.8249,0.0102,0.7751,0.0
New,S_SVC,"(100, 7, 0.2, 3)",0.8216,0.0107,0.7751,0.0
New,S_SVC,"(50, 3, 0.05, 7)",0.8339,0.0112,0.7751,0.0
New,S_SVC,"(200, 5, 0.1, 3)",0.8272,0.0161,0.7751,0.0
New,S_SVC,"(100, 5, 0.1, 7)",0.8283,0.0137,0.7751,0.0
New,S_SVC,"(100, 7, 0.2, 5)",0.8227,0.012,0.7751,0.0
High Corr.,B_GB,"(200, 3, 0.1, 3)",0.8305,0.0187,0.7746,0.0018
High Corr.,B_GB,"(200, 7, 0.05, 5)",0.8182,0.0168,0.7746,0.0023
High Corr.,B_GB,"(200, 3, 0.1, 7)",0.8305,0.0187,0.7746,0.0018
High Corr.,B_GB,"(200, 7, 0.05, 7)",0.8182,0.0168,0.7746,0.0023
High Corr.,B_GB,"(200, 7, 0.05, 3)",0.8182,0.0168,0.7746,0.0023
High Corr.,B_GB,"(200, 3, 0.1, 5)",0.8305,0.0187,0.7746,0.0018
High Corr.,B_GB,"(100, 7, 0.1, 3)",0.8193,0.0197,0.7742,0.0024
New,B_GB,"(50, 5, 0.1, 7)",0.8271,0.0207,0.7742,0.0029
High Corr.,B_GB,"(100, 7, 0.1, 5)",0.8193,0.0197,0.7742,0.0024
High Corr.,B_GB,"(100, 7, 0.1, 7)",0.8193,0.0197,0.7742,0.0024
New,B_GB,"(50, 5, 0.1, 5)",0.8271,0.0207,0.7742,0.0029
New,B_GB,"(50, 5, 0.1, 3)",0.8271,0.0207,0.7742,0.0029
High Corr.,B_GB,"(50, 7, 0.05, 3)",0.8327,0.0306,0.7732,0.001
High Corr.,B_GB,"(50, 7, 0.05, 5)",0.8327,0.0306,0.7732,0.001
High Corr.,B_GB,"(50, 7, 0.05, 7)",0.8327,0.0306,0.7732,0.001
High Corr.,S_HGB,"(200, 5, 0.2, 3)",0.8159,0.0152,0.7727,0.0
High Corr.,S_HGB,"(100, 5, 0.05, 5)",0.8025,0.0331,0.7727,0.0
New,S_SVC,"(200, 3, 0.2, 7)",0.8283,0.0078,0.7727,0.0
New,S_KN,"(200, 3, 0.2, 3)",0.7935,0.0301,0.7727,0.0
High Corr.,S_SVC,"(200, 7, 0.05, 3)",0.8283,0.0182,0.7727,0.0
New,S_HGB,"(200, 5, 0.05, 3)",0.8148,0.0224,0.7727,0.0
High Corr.,S_HGB,"(200, 5, 0.05, 5)",0.8115,0.0186,0.7727,0.0
High Corr.,S_SVC,"(200, 5, 0.05, 7)",0.8216,0.0221,0.7727,0.0
New,S_HGB,"(100, 5, 0.1, 7)",0.8193,0.0147,0.7727,0.0
New,S_HGB,"(200, 5, 0.2, 7)",0.8013,0.0256,0.7727,0.0
High Corr.,S_SVC,"(100, 7, 0.2, 7)",0.8283,0.0237,0.7727,0.0
High Corr.,S_HGB,"(100, 7, 0.2, 7)",0.8025,0.0231,0.7727,0.0
New,S_SVC,"(100, 7, 0.1, 7)",0.8204,0.0086,0.7727,0.0
New,S_SVC,"(100, 7, 0.1, 5)",0.8193,0.008,0.7727,0.0
New,S_KN,"(100, 7, 0.1, 5)",0.8047,0.0185,0.7727,0.0
New,S_SVC,"(100, 7, 0.1, 3)",0.8204,0.012,0.7727,0.0
High Corr.,S_HGB,"(200, 5, 0.2, 7)",0.8126,0.0256,0.7727,0.0
High Corr.,S_KN,"(200, 7, 0.1, 7)",0.8249,0.0289,0.7727,0.0
High Corr.,S_HGB,"(200, 3, 0.2, 7)",0.8103,0.0163,0.7727,0.0
High Corr.,S_SVC,"(200, 7, 0.2, 7)",0.8283,0.0237,0.7727,0.0
New,S_SVC,"(50, 3, 0.2, 5)",0.8339,0.0084,0.7727,0.0
New,S_SVC,"(50, 3, 0.1, 5)",0.8339,0.018,0.7727,0.0
New,S_KN,"(100, 3, 0.05, 7)",0.8126,0.0162,0.7727,0.0
High Corr.,S_SVC,"(50, 7, 0.2, 7)",0.8272,0.0205,0.7727,0.0
New,S_SVC,"(50, 7, 0.05, 7)",0.8227,0.0076,0.7727,0.0
High Corr.,S_HGB,"(50, 7, 0.05, 5)",0.8182,0.0172,0.7727,0.0
New,S_KN,"(50, 7, 0.05, 5)",0.8047,0.0131,0.7727,0.0
New,S_SVC,"(50, 5, 0.2, 7)",0.8227,0.0122,0.7727,0.0
High Corr.,S_SVC,"(50, 5, 0.1, 3)",0.8238,0.023,0.7727,0.0
New,S_HGB,"(50, 3, 0.2, 7)",0.8182,0.0169,0.7727,0.0
New,S_SVC,"(50, 3, 0.1, 7)",0.835,0.0204,0.7727,0.0
New,S_KN,"(100, 3, 0.2, 5)",0.8126,0.0297,0.7727,0.0
New,S_SVC,"(100, 3, 0.05, 7)",0.8372,0.0143,0.7727,0.0
New,S_SVC,"(50, 3, 0.05, 3)",0.8339,0.0141,0.7727,0.0
New,S_HGB,"(50, 3, 0.05, 5)",0.8216,0.0214,0.7727,0.0
New,S_HGB,"(50, 3, 0.1, 3)",0.816,0.0227,0.7727,0.0
New,S_SVC,"(50, 3, 0.05, 5)",0.8328,0.0114,0.7727,0.0
High Corr.,B_GB,"(50, 7, 0.2, 7)",0.8148,0.0241,0.7718,0.0032
New,B_GB,"(100, 5, 0.1, 7)",0.8137,0.0216,0.7718,0.0019
New,B_GB,"(100, 5, 0.1, 3)",0.8137,0.0216,0.7718,0.0019
High Corr.,B_GB,"(50, 7, 0.2, 5)",0.8148,0.0241,0.7718,0.0032
High Corr.,B_GB,"(50, 7, 0.2, 3)",0.8148,0.0241,0.7718,0.0032
New,B_GB,"(100, 5, 0.1, 5)",0.8137,0.0216,0.7718,0.0019
New,B_GB,"(50, 3, 0.1, 5)",0.8373,0.0192,0.7713,0.0029
New,B_GB,"(50, 7, 0.05, 7)",0.8182,0.0175,0.7713,0.0019
High Corr.,B_GB,"(200, 7, 0.1, 7)",0.8283,0.0183,0.7713,0.0032
New,B_GB,"(50, 7, 0.05, 5)",0.8182,0.0175,0.7713,0.0019
High Corr.,B_GB,"(200, 7, 0.1, 5)",0.8283,0.0183,0.7713,0.0032
High Corr.,B_GB,"(200, 7, 0.1, 3)",0.8283,0.0183,0.7713,0.0032
New,B_GB,"(50, 3, 0.1, 3)",0.8373,0.0192,0.7713,0.0029
New,B_GB,"(50, 3, 0.1, 7)",0.8373,0.0192,0.7713,0.0029
New,B_GB,"(50, 7, 0.05, 3)",0.8182,0.0175,0.7713,0.0019
New,B_GB,"(50, 3, 0.05, 7)",0.8339,0.0137,0.7708,0.001
New,B_GB,"(50, 3, 0.05, 5)",0.8339,0.0137,0.7708,0.001
New,B_GB,"(50, 3, 0.05, 3)",0.8339,0.0137,0.7708,0.001
High Corr.,S_SVC,"(50, 7, 0.2, 5)",0.8272,0.0205,0.7703,0.0
New,S_KN,"(200, 7, 0.05, 5)",0.8036,0.0177,0.7703,0.0
High Corr.,S_HGB,"(50, 5, 0.05, 3)",0.8081,0.0152,0.7703,0.0
New,S_KN,"(200, 5, 0.1, 5)",0.8059,0.0258,0.7703,0.0
New,B_GB,"(100, 3, 0.05, 3)",0.8328,0.018,0.7703,0.0026
New,B_GB,"(50, 5, 0.05, 5)",0.8215,0.0186,0.7703,0.0
New,S_HGB,"(50, 3, 0.05, 3)",0.8249,0.022,0.7703,0.0
New,S_SVC,"(50, 7, 0.2, 7)",0.8216,0.0112,0.7703,0.0
High Corr.,S_HGB,"(200, 5, 0.1, 3)",0.8114,0.0158,0.7703,0.0
High Corr.,S_KN,"(50, 5, 0.05, 5)",0.8014,0.0219,0.7703,0.0
New,B_GB,"(50, 5, 0.05, 7)",0.8215,0.0186,0.7703,0.0
High Corr.,S_HGB,"(50, 5, 0.05, 7)",0.8092,0.026,0.7703,0.0
New,S_HGB,"(100, 5, 0.05, 3)",0.8115,0.0226,0.7703,0.0
New,S_HGB,"(200, 5, 0.05, 7)",0.8159,0.0241,0.7703,0.0
High Corr.,S_SVC,"(50, 5, 0.05, 7)",0.8126,0.0209,0.7703,0.0
New,S_KN,"(50, 5, 0.1, 5)",0.807,0.0219,0.7703,0.0
New,B_GB,"(50, 5, 0.05, 3)",0.8215,0.0186,0.7703,0.0
New,S_SVC,"(50, 5, 0.1, 5)",0.826,0.0151,0.7703,0.0
New,S_KN,"(50, 7, 0.2, 5)",0.8148,0.0168,0.7703,0.0
New,S_SVC,"(50, 5, 0.1, 7)",0.8294,0.0146,0.7703,0.0
New,S_SVC,"(50, 5, 0.2, 5)",0.8216,0.0154,0.7703,0.0
High Corr.,S_KN,"(50, 5, 0.2, 5)",0.8182,0.0287,0.7703,0.0
High Corr.,B_GB,"(100, 7, 0.2, 3)",0.8283,0.0218,0.7703,0.0043
New,S_KN,"(100, 3, 0.1, 7)",0.8137,0.0201,0.7703,0.0
High Corr.,B_GB,"(100, 7, 0.2, 5)",0.8283,0.0218,0.7703,0.0043
High Corr.,S_KN,"(200, 3, 0.1, 5)",0.8193,0.0201,0.7703,0.0
High Corr.,S_KN,"(50, 7, 0.05, 5)",0.8171,0.0237,0.7703,0.0
New,S_KN,"(50, 7, 0.05, 7)",0.8238,0.0226,0.7703,0.0
High Corr.,B_GB,"(100, 7, 0.2, 7)",0.8283,0.0218,0.7703,0.0043
New,S_SVC,"(50, 7, 0.1, 7)",0.8227,0.0101,0.7703,0.0
New,S_SVC,"(100, 3, 0.05, 3)",0.8339,0.0144,0.7703,0.0
High Corr.,S_HGB,"(50, 7, 0.1, 5)",0.8058,0.0221,0.7703,0.0
High Corr.,S_KN,"(200, 7, 0.2, 5)",0.798,0.0164,0.7703,0.0
New,S_SVC,"(50, 3, 0.2, 3)",0.8328,0.0095,0.7703,0.0
High Corr.,S_SVC,"(200, 5, 0.2, 7)",0.8227,0.0231,0.7703,0.0
New,S_SVC,"(100, 3, 0.05, 5)",0.8317,0.0141,0.7703,0.0
New,B_GB,"(100, 3, 0.05, 7)",0.8328,0.018,0.7703,0.0026
High Corr.,S_SVC,"(200, 7, 0.2, 5)",0.8305,0.0239,0.7703,0.0
New,B_GB,"(100, 3, 0.05, 5)",0.8328,0.018,0.7703,0.0026
New,S_KN,"(50, 3, 0.1, 7)",0.8216,0.0112,0.7703,0.0
New,S_SVC,"(50, 3, 0.2, 7)",0.8339,0.0068,0.7703,0.0
New,B_GB,"(200, 7, 0.2, 5)",0.8014,0.0245,0.7699,0.0028
New,B_GB,"(200, 7, 0.2, 7)",0.8014,0.0245,0.7699,0.0028
New,B_GB,"(200, 7, 0.2, 3)",0.8014,0.0245,0.7699,0.0028
New,B_GB,"(50, 5, 0.2, 5)",0.8092,0.0301,0.7679,0.0034
High Corr.,S_HGB,"(200, 3, 0.2, 5)",0.8159,0.0081,0.7679,0.0
High Corr.,S_SVC,"(100, 7, 0.2, 3)",0.8317,0.0221,0.7679,0.0
New,S_KN,"(50, 5, 0.2, 5)",0.8093,0.031,0.7679,0.0
New,S_KN,"(200, 7, 0.2, 7)",0.8137,0.0267,0.7679,0.0
High Corr.,S_HGB,"(200, 5, 0.2, 5)",0.8092,0.0264,0.7679,0.0
New,S_SVC,"(50, 5, 0.2, 3)",0.8182,0.0163,0.7679,0.0
High Corr.,S_SVC,"(50, 7, 0.2, 3)",0.8305,0.0213,0.7679,0.0
High Corr.,S_SVC,"(50, 5, 0.2, 5)",0.8204,0.0183,0.7679,0.0
High Corr.,S_SVC,"(100, 7, 0.1, 5)",0.8272,0.0164,0.7679,0.0
New,B_GB,"(100, 5, 0.2, 3)",0.8014,0.0216,0.7679,0.0037
New,B_GB,"(50, 5, 0.2, 7)",0.8092,0.0301,0.7679,0.0034
New,S_SVC,"(50, 7, 0.2, 3)",0.8227,0.0124,0.7679,0.0
New,B_GB,"(50, 5, 0.2, 3)",0.8092,0.0301,0.7679,0.0034
High Corr.,S_HGB,"(50, 3, 0.1, 3)",0.8126,0.0201,0.7679,0.0
High Corr.,S_KN,"(100, 3, 0.2, 3)",0.7924,0.0167,0.7679,0.0
High Corr.,S_HGB,"(100, 3, 0.1, 3)",0.8025,0.0151,0.7679,0.0
High Corr.,S_HGB,"(100, 3, 0.2, 5)",0.7957,0.0302,0.7679,0.0
High Corr.,S_KN,"(100, 5, 0.1, 7)",0.8249,0.0183,0.7679,0.0
High Corr.,S_HGB,"(200, 7, 0.2, 7)",0.8126,0.0189,0.7679,0.0
High Corr.,S_KN,"(200, 3, 0.05, 7)",0.8047,0.0199,0.7679,0.0
High Corr.,S_SVC,"(50, 3, 0.05, 7)",0.816,0.0112,0.7679,0.0
High Corr.,S_HGB,"(50, 3, 0.05, 7)",0.8227,0.0209,0.7679,0.0
High Corr.,S_KN,"(200, 3, 0.05, 5)",0.8092,0.0292,0.7679,0.0
High Corr.,S_HGB,"(200, 3, 0.05, 5)",0.7947,0.0243,0.7679,0.0
High Corr.,S_KN,"(50, 3, 0.1, 3)",0.8014,0.0108,0.7679,0.0
High Corr.,S_HGB,"(50, 3, 0.1, 7)",0.8103,0.0112,0.7679,0.0
New,S_SVC,"(100, 5, 0.05, 7)",0.8283,0.0142,0.7679,0.0
High Corr.,S_SVC,"(100, 7, 0.05, 3)",0.8249,0.0198,0.7679,0.0
New,S_HGB,"(50, 5, 0.05, 5)",0.8047,0.0256,0.7679,0.0
High Corr.,S_SVC,"(200, 7, 0.2, 3)",0.8328,0.0225,0.7679,0.0
New,S_HGB,"(200, 5, 0.2, 5)",0.8081,0.0153,0.7679,0.0
High Corr.,S_KN,"(200, 5, 0.1, 3)",0.8059,0.0278,0.7679,0.0
New,B_GB,"(100, 5, 0.2, 7)",0.8014,0.0216,0.7679,0.0037
High Corr.,S_HGB,"(100, 3, 0.05, 5)",0.8115,0.0167,0.7679,0.0
High Corr.,S_KN,"(200, 5, 0.05, 7)",0.8215,0.023,0.7679,0.0
New,S_HGB,"(200, 5, 0.2, 3)",0.8081,0.0273,0.7679,0.0
New,S_HGB,"(100, 3, 0.2, 5)",0.8036,0.0203,0.7679,0.0
High Corr.,S_KN,"(50, 3, 0.05, 3)",0.8036,0.0178,0.7679,0.0
High Corr.,S_KN,"(200, 5, 0.1, 5)",0.807,0.0207,0.7679,0.0
High Corr.,S_KN,"(50, 5, 0.1, 3)",0.8047,0.0155,0.7679,0.0
New,B_GB,"(100, 5, 0.2, 5)",0.8014,0.0216,0.7679,0.0037
High Corr.,S_SVC,"(100, 5, 0.2, 3)",0.8171,0.0179,0.7679,0.0
New,S_SVC,"(50, 7, 0.2, 5)",0.8249,0.0107,0.7679,0.0
High Corr.,S_HGB,"(50, 5, 0.1, 5)",0.8182,0.0288,0.7679,0.0
New,S_KN,"(50, 5, 0.1, 7)",0.8182,0.0241,0.7679,0.0
High Corr.,S_HGB,"(100, 5, 0.2, 3)",0.8025,0.0222,0.7679,0.0
High Corr.,S_SVC,"(100, 5, 0.2, 7)",0.8227,0.0167,0.7679,0.0
New,B_GB,"(100, 7, 0.2, 5)",0.8059,0.0203,0.7675,0.0041
New,B_GB,"(100, 7, 0.2, 3)",0.8059,0.0203,0.7675,0.0041
New,B_GB,"(100, 7, 0.2, 7)",0.8059,0.0203,0.7675,0.0041
High Corr.,B_GB,"(100, 5, 0.2, 5)",0.8238,0.0257,0.767,0.0024
High Corr.,B_GB,"(100, 5, 0.2, 3)",0.8238,0.0257,0.767,0.0024
High Corr.,B_GB,"(100, 5, 0.2, 7)",0.8238,0.0257,0.767,0.0024
New,B_GB,"(50, 7, 0.1, 3)",0.8115,0.0258,0.7665,0.0032
