Feats_subset,Model_name,n_est;max_dep;LR;n_neig,train_score,train_std,subm_score,subm_std
New,B_GB,"(50, 7, 0.1, 7)",0.8115,0.0258,0.7665,0.0032
New,B_GB,"(100, 7, 0.1, 7)",0.807,0.0309,0.7665,0.0029
New,B_GB,"(50, 7, 0.1, 5)",0.8115,0.0258,0.7665,0.0032
New,B_GB,"(100, 7, 0.1, 3)",0.807,0.0309,0.7665,0.0029
New,B_GB,"(100, 7, 0.1, 5)",0.807,0.0309,0.7665,0.0029
New,B_GB,"(200, 5, 0.2, 5)",0.8059,0.0219,0.766,0.0041
New,B_GB,"(200, 5, 0.2, 7)",0.8059,0.0219,0.766,0.0041
New,B_GB,"(200, 3, 0.2, 3)",0.8159,0.0312,0.766,0.0035
New,B_GB,"(200, 3, 0.2, 7)",0.8159,0.0312,0.766,0.0035
New,B_GB,"(200, 5, 0.2, 3)",0.8059,0.0219,0.766,0.0041
New,B_GB,"(200, 3, 0.2, 5)",0.8159,0.0312,0.766,0.0035
New,S_SVC,"(50, 7, 0.1, 5)",0.8216,0.0108,0.7656,0.0
New,S_KN,"(200, 3, 0.1, 3)",0.7823,0.0164,0.7656,0.0
High Corr.,S_KN,"(100, 5, 0.1, 3)",0.8137,0.0125,0.7656,0.0
New,S_KN,"(100, 3, 0.2, 3)",0.78,0.0197,0.7656,0.0
New,S_HGB,"(50, 3, 0.1, 5)",0.8249,0.0194,0.7656,0.0
High Corr.,S_KN,"(200, 5, 0.2, 3)",0.8126,0.0261,0.7656,0.0
New,S_HGB,"(100, 3, 0.2, 7)",0.8114,0.019,0.7656,0.0
High Corr.,S_SVC,"(100, 7, 0.2, 5)",0.8305,0.0219,0.7656,0.0
High Corr.,S_SVC,"(50, 5, 0.2, 7)",0.8204,0.0169,0.7656,0.0
High Corr.,S_KN,"(50, 5, 0.2, 7)",0.8227,0.0306,0.7656,0.0
New,S_KN,"(50, 7, 0.2, 3)",0.8002,0.015,0.7656,0.0
High Corr.,B_GB,"(200, 7, 0.2, 5)",0.8294,0.0199,0.7656,0.004
High Corr.,S_KN,"(100, 7, 0.2, 3)",0.7991,0.0214,0.7656,0.0
New,S_HGB,"(100, 7, 0.05, 3)",0.8159,0.0192,0.7656,0.0
High Corr.,S_HGB,"(100, 5, 0.05, 7)",0.7947,0.0336,0.7656,0.0
New,S_KN,"(200, 3, 0.2, 7)",0.8171,0.038,0.7656,0.0
New,S_HGB,"(50, 5, 0.05, 3)",0.807,0.0303,0.7656,0.0
High Corr.,S_KN,"(100, 3, 0.1, 7)",0.8092,0.0132,0.7656,0.0
New,S_KN,"(100, 5, 0.1, 7)",0.8373,0.0202,0.7656,0.0
High Corr.,S_KN,"(100, 3, 0.05, 5)",0.8025,0.0203,0.7656,0.0
New,S_SVC,"(50, 5, 0.1, 3)",0.8249,0.0152,0.7656,0.0
New,S_SVC,"(50, 5, 0.05, 7)",0.826,0.0119,0.7656,0.0
High Corr.,B_GB,"(200, 7, 0.2, 3)",0.8294,0.0199,0.7656,0.004
High Corr.,S_HGB,"(50, 7, 0.2, 5)",0.8047,0.0281,0.7656,0.0
High Corr.,S_KN,"(200, 7, 0.2, 7)",0.8204,0.0155,0.7656,0.0
High Corr.,S_SVC,"(50, 7, 0.1, 7)",0.8238,0.0244,0.7656,0.0
High Corr.,B_GB,"(200, 7, 0.2, 7)",0.8294,0.0199,0.7656,0.004
New,S_SVC,"(50, 7, 0.1, 3)",0.8216,0.0094,0.7656,0.0
High Corr.,S_KN,"(50, 7, 0.1, 7)",0.8215,0.0196,0.7656,0.0
New,S_HGB,"(100, 5, 0.1, 5)",0.8261,0.0183,0.7656,0.0
New,B_GB,"(100, 7, 0.05, 7)",0.8115,0.0287,0.7646,0.0044
New,B_GB,"(100, 7, 0.05, 5)",0.8115,0.0287,0.7646,0.0044
New,B_GB,"(100, 7, 0.05, 3)",0.8115,0.0287,0.7646,0.0044
New,B_GB,"(200, 7, 0.1, 5)",0.8047,0.0222,0.7636,0.0038
New,B_GB,"(200, 7, 0.1, 3)",0.8047,0.0222,0.7636,0.0038
New,B_GB,"(200, 7, 0.1, 7)",0.8047,0.0222,0.7636,0.0038
High Corr.,S_SVC,"(100, 7, 0.1, 3)",0.8317,0.0176,0.7632,0.0
New,S_SVC,"(100, 5, 0.05, 5)",0.8249,0.0148,0.7632,0.0
High Corr.,S_KN,"(50, 5, 0.2, 3)",0.8115,0.0302,0.7632,0.0
High Corr.,S_KN,"(50, 3, 0.2, 7)",0.807,0.0293,0.7632,0.0
High Corr.,S_HGB,"(100, 7, 0.05, 5)",0.8148,0.0242,0.7632,0.0
High Corr.,S_HGB,"(50, 5, 0.1, 7)",0.8205,0.0354,0.7632,0.0
New,S_KN,"(200, 5, 0.1, 3)",0.8002,0.0194,0.7632,0.0
High Corr.,S_HGB,"(50, 5, 0.1, 3)",0.8171,0.0278,0.7632,0.0
High Corr.,S_KN,"(200, 5, 0.05, 5)",0.8115,0.0218,0.7632,0.0
New,S_SVC,"(50, 5, 0.05, 3)",0.8216,0.0156,0.7632,0.0
High Corr.,S_SVC,"(50, 5, 0.2, 3)",0.8182,0.0182,0.7632,0.0
New,S_HGB,"(100, 7, 0.05, 5)",0.8216,0.0147,0.7632,0.0
New,S_SVC,"(50, 5, 0.05, 5)",0.8249,0.014,0.7632,0.0
New,S_HGB,"(50, 5, 0.1, 5)",0.807,0.0251,0.7632,0.0
High Corr.,S_HGB,"(50, 7, 0.2, 3)",0.7991,0.0221,0.7632,0.0
High Corr.,S_SVC,"(100, 7, 0.1, 7)",0.8249,0.0186,0.7632,0.0
New,S_KN,"(50, 3, 0.2, 7)",0.8238,0.0221,0.7632,0.0
New,S_KN,"(50, 3, 0.2, 3)",0.7901,0.0172,0.7632,0.0
High Corr.,S_SVC,"(50, 7, 0.1, 5)",0.8272,0.0192,0.7632,0.0
High Corr.,S_KN,"(50, 3, 0.05, 7)",0.807,0.0181,0.7632,0.0
New,S_KN,"(50, 7, 0.1, 7)",0.8126,0.0158,0.7632,0.0
High Corr.,S_KN,"(100, 5, 0.05, 5)",0.8115,0.0235,0.7632,0.0
New,S_HGB,"(100, 5, 0.2, 7)",0.8204,0.0282,0.7632,0.0
High Corr.,S_HGB,"(100, 5, 0.2, 7)",0.7958,0.0322,0.7632,0.0
New,S_SVC,"(100, 5, 0.05, 3)",0.8193,0.0151,0.7632,0.0
High Corr.,S_KN,"(200, 7, 0.05, 7)",0.8294,0.0197,0.7632,0.0
New,S_HGB,"(100, 5, 0.1, 3)",0.8249,0.0169,0.7632,0.0
New,S_KN,"(200, 7, 0.05, 7)",0.8104,0.0246,0.7632,0.0
High Corr.,S_KN,"(200, 7, 0.1, 5)",0.8081,0.0381,0.7632,0.0
High Corr.,S_SVC,"(200, 7, 0.1, 5)",0.826,0.0204,0.7632,0.0
High Corr.,B_GB,"(200, 5, 0.2, 3)",0.826,0.0235,0.7627,0.0035
New,B_GB,"(200, 7, 0.05, 7)",0.8115,0.0296,0.7627,0.0065
New,B_GB,"(200, 7, 0.05, 5)",0.8115,0.0296,0.7627,0.0065
New,B_GB,"(200, 7, 0.05, 3)",0.8115,0.0296,0.7627,0.0065
High Corr.,B_GB,"(200, 5, 0.2, 7)",0.826,0.0235,0.7627,0.0035
High Corr.,B_GB,"(200, 5, 0.2, 5)",0.826,0.0235,0.7627,0.0035
New,B_GB,"(50, 7, 0.2, 3)",0.8115,0.0262,0.7612,0.0055
New,B_GB,"(50, 7, 0.2, 5)",0.8115,0.0262,0.7612,0.0055
New,B_GB,"(50, 7, 0.2, 7)",0.8115,0.0262,0.7612,0.0055
High Corr.,S_HGB,"(100, 5, 0.2, 5)",0.7969,0.0242,0.7608,0.0
New,S_HGB,"(200, 7, 0.05, 3)",0.8227,0.0091,0.7608,0.0
New,S_HGB,"(50, 3, 0.1, 7)",0.8283,0.0203,0.7608,0.0
High Corr.,S_HGB,"(50, 3, 0.2, 5)",0.8014,0.0187,0.7608,0.0
New,S_KN,"(100, 7, 0.05, 3)",0.8014,0.0153,0.7608,0.0
High Corr.,S_KN,"(200, 5, 0.1, 7)",0.8159,0.0245,0.7608,0.0
High Corr.,S_KN,"(50, 5, 0.05, 3)",0.8081,0.0165,0.7608,0.0
High Corr.,S_KN,"(100, 3, 0.05, 7)",0.8081,0.0221,0.7608,0.0
High Corr.,S_KN,"(100, 3, 0.05, 3)",0.8014,0.0082,0.7608,0.0
High Corr.,S_KN,"(50, 3, 0.1, 7)",0.7991,0.0155,0.7608,0.0
New,S_KN,"(200, 7, 0.05, 3)",0.7935,0.0205,0.7608,0.0
High Corr.,S_KN,"(100, 3, 0.2, 5)",0.8115,0.0344,0.7608,0.0
High Corr.,S_HGB,"(50, 7, 0.05, 3)",0.8047,0.0197,0.7608,0.0
New,S_HGB,"(50, 5, 0.2, 5)",0.8081,0.0123,0.7608,0.0
High Corr.,S_KN,"(200, 3, 0.1, 7)",0.8103,0.0178,0.7608,0.0
High Corr.,S_SVC,"(200, 7, 0.1, 7)",0.8238,0.022,0.7608,0.0
High Corr.,S_KN,"(100, 7, 0.1, 7)",0.816,0.0203,0.7608,0.0
New,S_HGB,"(50, 5, 0.1, 3)",0.8126,0.0272,0.7608,0.0
High Corr.,S_HGB,"(100, 7, 0.1, 7)",0.8115,0.0211,0.7608,0.0
New,S_HGB,"(200, 7, 0.05, 5)",0.8227,0.0133,0.7608,0.0
New,S_HGB,"(50, 5, 0.2, 7)",0.8024,0.0175,0.7608,0.0
New,S_HGB,"(50, 7, 0.05, 7)",0.8126,0.0074,0.7608,0.0
New,S_HGB,"(50, 5, 0.1, 7)",0.8159,0.0185,0.7608,0.0
New,S_HGB,"(100, 5, 0.05, 5)",0.8148,0.0233,0.7584,0.0
High Corr.,S_HGB,"(200, 7, 0.1, 5)",0.8283,0.0243,0.7584,0.0
New,S_HGB,"(50, 7, 0.05, 3)",0.8171,0.0135,0.7584,0.0
New,S_KN,"(50, 7, 0.05, 3)",0.7946,0.0132,0.7584,0.0
New,S_HGB,"(50, 7, 0.05, 5)",0.8182,0.0102,0.7584,0.0
New,S_HGB,"(100, 5, 0.05, 7)",0.8103,0.0198,0.7584,0.0
High Corr.,S_HGB,"(100, 7, 0.2, 3)",0.8092,0.0167,0.7584,0.0
New,S_HGB,"(100, 7, 0.2, 7)",0.8182,0.0087,0.7584,0.0
High Corr.,S_HGB,"(50, 7, 0.05, 7)",0.8126,0.0253,0.7584,0.0
New,S_KN,"(50, 7, 0.1, 3)",0.8014,0.0136,0.7584,0.0
High Corr.,S_HGB,"(50, 7, 0.1, 3)",0.8114,0.025,0.7584,0.0
High Corr.,S_KN,"(200, 7, 0.1, 3)",0.8126,0.0229,0.7584,0.0
High Corr.,S_SVC,"(50, 7, 0.1, 3)",0.8283,0.0199,0.7584,0.0
High Corr.,S_SVC,"(200, 7, 0.1, 3)",0.8294,0.0216,0.7584,0.0
New,S_HGB,"(100, 7, 0.2, 5)",0.8137,0.0186,0.7584,0.0
High Corr.,S_HGB,"(200, 5, 0.1, 7)",0.8216,0.0167,0.7584,0.0
New,S_HGB,"(200, 7, 0.05, 7)",0.8238,0.0029,0.7584,0.0
New,S_HGB,"(50, 5, 0.05, 7)",0.8036,0.0278,0.7584,0.0
High Corr.,S_KN,"(100, 7, 0.05, 7)",0.8215,0.0153,0.7584,0.0
New,S_HGB,"(200, 5, 0.1, 3)",0.8227,0.0247,0.7584,0.0
New,S_KN,"(50, 7, 0.2, 7)",0.8216,0.0174,0.7584,0.0
New,S_HGB,"(100, 7, 0.05, 7)",0.8227,0.0116,0.7584,0.0
High Corr.,S_HGB,"(100, 7, 0.1, 3)",0.8036,0.0243,0.7584,0.0
High Corr.,S_HGB,"(100, 5, 0.1, 5)",0.8137,0.0318,0.7584,0.0
High Corr.,S_HGB,"(200, 5, 0.05, 3)",0.8238,0.0154,0.7584,0.0
New,S_KN,"(200, 5, 0.05, 3)",0.7868,0.0299,0.7584,0.0
New,S_KN,"(50, 7, 0.1, 5)",0.8104,0.0356,0.7584,0.0
High Corr.,S_KN,"(200, 3, 0.2, 7)",0.8104,0.0245,0.7584,0.0
High Corr.,S_KN,"(100, 7, 0.1, 5)",0.798,0.0354,0.7584,0.0
New,S_KN,"(100, 5, 0.05, 7)",0.8137,0.0231,0.7584,0.0
New,S_KN,"(100, 7, 0.1, 7)",0.8115,0.0242,0.7584,0.0
New,S_KN,"(200, 5, 0.1, 7)",0.825,0.0266,0.7584,0.0
New,S_HGB,"(200, 7, 0.1, 7)",0.8249,0.0241,0.756,0.0
New,S_KN,"(50, 3, 0.05, 3)",0.7756,0.0408,0.756,0.0
New,S_HGB,"(50, 3, 0.05, 7)",0.8305,0.0157,0.756,0.0
New,S_KN,"(100, 3, 0.1, 3)",0.789,0.0215,0.756,0.0
New,S_KN,"(100, 3, 0.05, 3)",0.7935,0.0324,0.756,0.0
High Corr.,S_HGB,"(100, 3, 0.05, 7)",0.7992,0.0278,0.756,0.0
High Corr.,S_HGB,"(50, 3, 0.2, 7)",0.8059,0.026,0.756,0.0
New,S_KN,"(50, 5, 0.2, 3)",0.8036,0.0347,0.756,0.0
High Corr.,S_HGB,"(50, 3, 0.2, 3)",0.8014,0.0187,0.756,0.0
High Corr.,S_KN,"(200, 3, 0.05, 3)",0.7991,0.0222,0.756,0.0
High Corr.,S_KN,"(100, 3, 0.1, 3)",0.7958,0.0321,0.756,0.0
New,S_HGB,"(100, 5, 0.2, 5)",0.8227,0.0175,0.756,0.0
High Corr.,S_HGB,"(50, 5, 0.2, 7)",0.8036,0.0231,0.756,0.0
High Corr.,S_HGB,"(100, 7, 0.05, 3)",0.8238,0.0168,0.756,0.0
New,S_HGB,"(50, 5, 0.2, 3)",0.8092,0.0124,0.756,0.0
New,S_KN,"(100, 5, 0.1, 3)",0.7947,0.0228,0.756,0.0
New,S_KN,"(100, 7, 0.1, 3)",0.7957,0.0289,0.7536,0.0
High Corr.,S_HGB,"(100, 5, 0.1, 3)",0.8171,0.0143,0.7536,0.0
New,S_KN,"(200, 3, 0.05, 3)",0.7924,0.0289,0.7536,0.0
High Corr.,S_KN,"(200, 3, 0.1, 3)",0.798,0.0174,0.7536,0.0
High Corr.,S_HGB,"(100, 7, 0.1, 5)",0.8047,0.023,0.7536,0.0
High Corr.,S_KN,"(100, 3, 0.1, 5)",0.8126,0.0292,0.7536,0.0
New,S_HGB,"(100, 7, 0.1, 5)",0.8025,0.0103,0.7536,0.0
High Corr.,S_HGB,"(50, 5, 0.2, 5)",0.807,0.03,0.7536,0.0
New,S_HGB,"(50, 7, 0.2, 5)",0.807,0.0227,0.7536,0.0
High Corr.,S_KN,"(200, 7, 0.05, 5)",0.8059,0.0214,0.7536,0.0
High Corr.,S_HGB,"(200, 7, 0.05, 5)",0.8227,0.0144,0.7536,0.0
New,S_KN,"(50, 5, 0.1, 3)",0.78,0.0248,0.7536,0.0
New,S_KN,"(100, 5, 0.2, 3)",0.7857,0.022,0.7536,0.0
High Corr.,S_HGB,"(200, 7, 0.2, 5)",0.8103,0.0242,0.7512,0.0
High Corr.,S_KN,"(100, 7, 0.1, 3)",0.7991,0.0148,0.7512,0.0
High Corr.,S_HGB,"(100, 5, 0.1, 7)",0.8227,0.0221,0.7512,0.0
High Corr.,S_KN,"(100, 3, 0.2, 7)",0.8092,0.0243,0.7512,0.0
New,S_HGB,"(100, 5, 0.2, 3)",0.8204,0.0196,0.7512,0.0
High Corr.,S_HGB,"(200, 7, 0.1, 7)",0.817,0.0224,0.7512,0.0
New,S_HGB,"(50, 7, 0.1, 5)",0.8058,0.0129,0.7512,0.0
High Corr.,S_HGB,"(200, 7, 0.2, 3)",0.7969,0.0142,0.7512,0.0
High Corr.,S_HGB,"(200, 7, 0.1, 3)",0.8193,0.0173,0.7512,0.0
New,S_KN,"(50, 5, 0.2, 7)",0.8283,0.0332,0.7512,0.0
High Corr.,S_KN,"(50, 7, 0.05, 7)",0.8126,0.0149,0.7512,0.0
High Corr.,S_KN,"(200, 5, 0.05, 3)",0.808,0.0248,0.7512,0.0
New,S_HGB,"(100, 7, 0.1, 3)",0.8092,0.0169,0.7512,0.0
High Corr.,S_HGB,"(100, 7, 0.05, 7)",0.817,0.0146,0.7512,0.0
New,S_HGB,"(50, 7, 0.2, 7)",0.8002,0.0209,0.7488,0.0
High Corr.,S_KN,"(200, 7, 0.2, 3)",0.8059,0.0264,0.7488,0.0
High Corr.,S_KN,"(100, 5, 0.05, 7)",0.8025,0.0251,0.7488,0.0
New,S_KN,"(50, 3, 0.1, 3)",0.78,0.0144,0.7488,0.0
New,S_KN,"(50, 5, 0.05, 3)",0.8047,0.022,0.7488,0.0
New,S_HGB,"(200, 5, 0.1, 5)",0.8171,0.0174,0.7488,0.0
New,S_KN,"(50, 5, 0.05, 7)",0.8204,0.0229,0.7488,0.0
High Corr.,S_KN,"(100, 7, 0.05, 5)",0.8081,0.0269,0.7464,0.0
High Corr.,S_KN,"(50, 3, 0.2, 3)",0.8025,0.014,0.7464,0.0
High Corr.,S_HGB,"(200, 5, 0.05, 7)",0.8048,0.0234,0.7464,0.0
New,S_HGB,"(200, 7, 0.2, 7)",0.807,0.0224,0.7464,0.0
New,S_KN,"(100, 5, 0.05, 3)",0.7846,0.025,0.7464,0.0
High Corr.,S_KN,"(100, 5, 0.05, 3)",0.8058,0.0151,0.7464,0.0
New,S_HGB,"(200, 7, 0.1, 5)",0.8249,0.0212,0.7464,0.0
High Corr.,S_HGB,"(50, 7, 0.1, 7)",0.8193,0.024,0.7464,0.0
New,S_HGB,"(200, 7, 0.1, 3)",0.8182,0.019,0.7464,0.0
High Corr.,S_KN,"(200, 3, 0.2, 3)",0.7946,0.018,0.744,0.0
New,S_HGB,"(100, 7, 0.1, 7)",0.8137,0.0159,0.744,0.0
New,S_KN,"(100, 5, 0.2, 7)",0.8126,0.0248,0.744,0.0
New,S_HGB,"(200, 5, 0.1, 7)",0.8159,0.0186,0.744,0.0
High Corr.,S_HGB,"(200, 7, 0.05, 3)",0.8216,0.0198,0.7416,0.0
High Corr.,S_KN,"(50, 7, 0.2, 3)",0.7991,0.0112,0.7416,0.0
New,S_HGB,"(50, 7, 0.2, 3)",0.8047,0.0159,0.7416,0.0
High Corr.,S_KN,"(50, 7, 0.05, 3)",0.7969,0.0208,0.7392,0.0
New,S_HGB,"(100, 7, 0.2, 3)",0.8058,0.0169,0.7392,0.0
New,S_HGB,"(50, 7, 0.1, 3)",0.8059,0.0129,0.7392,0.0
New,S_HGB,"(200, 7, 0.2, 5)",0.8092,0.0187,0.7392,0.0
New,S_HGB,"(50, 7, 0.1, 7)",0.8013,0.0152,0.7368,0.0
High Corr.,S_HGB,"(50, 5, 0.2, 3)",0.8081,0.0311,0.7368,0.0
High Corr.,S_HGB,"(200, 7, 0.05, 7)",0.8204,0.0261,0.7368,0.0
High Corr.,S_KN,"(50, 7, 0.1, 3)",0.7991,0.0212,0.7344,0.0
High Corr.,S_KN,"(100, 5, 0.2, 3)",0.8103,0.022,0.7321,0.0
High Corr.,S_KN,"(50, 5, 0.05, 7)",0.8103,0.0274,0.7321,0.0
New,S_HGB,"(200, 7, 0.2, 3)",0.8047,0.025,0.7273,0.0
High Corr.,S_KN,"(200, 7, 0.05, 3)",0.8137,0.0163,0.7225,0.0
High Corr.,S_KN,"(100, 7, 0.05, 3)",0.8025,0.0279,0.7057,0.0
